query_id,category,query,failure_type,focus_method,focus_method_display,best_method,best_method_display,worst_method,worst_method_display,bm25_nDCG@10,dense_flat_nDCG@10,dense_ann_nDCG@10,hybrid_rrf_nDCG@10,top_result_id,top_result_label,top_result_evidence
AS01,action_situation,prisoner escapes captivity,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_ann,Dense FAISS ANN,0.6956,0.4271,0.3649,0.5144,43487-0_chunk_000125,1,"Escapes and attempts to escape occurred, as might be expected, during the whole eighteen years of the occupation of the prison."
AS03,action_situation,someone follows a suspicious person without being noticed,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,hybrid_rrf,Hybrid RRF,dense_flat,Dense FAISS Flat,0.5091,0.4700,0.4700,0.5323,37963-8_chunk_000087,1,"There was a stealthy quality in the movements, as if someone were stealing softly through the brushwood, taking cautious steps, keenly on the alert against hidden listeners."
AS05,action_situation,someone breaks a curse by returning what was stolen,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_ann,Dense FAISS ANN,0.6769,0.3602,0.3530,0.4978,6603-8_chunk_000650,1,"Anyone who feloniously steals or aids in the stealing of goods, wares, or merchandise over 5s. from a shop, warehouse, coach house, or stable (by night or by day, whether the owner is present or not, whether there is a break in or not) may not have benefit of clergy."
AS06,action_situation,a family leaves home after losing everything in a disaster,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,hybrid_rrf,Hybrid RRF,dense_ann,Dense FAISS ANN,0.4609,0.4540,0.4154,0.5013,7956-8_chunk_000204,1,"It was Christmas Eve, a day of sadness for all those who once had a family."
AS07,action_situation,"during a retreat, several soldiers refuse to abandon their wounded companions and struggle to carry them away before the enemy arrives",dense_lags_lexical_baseline,dense_flat,Dense FAISS Flat,bm25,BM25,dense_ann,Dense FAISS ANN,0.8126,0.6484,0.5939,0.6944,65654-0_chunk_000245,1,"The men refused to stir. The general then turned to the fifty artillery men who accompanied him, and, armed with swords and revolvers, they rushed forward, stopped to breathe for a moment in a gully, and reached the parapet, which some of them mounted."
AT01,atmosphere,haunted castle at night,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,dense_flat,Dense FAISS Flat,hybrid_rrf,Hybrid RRF,0.4843,0.6779,0.6779,0.4663,41259-0_chunk_000005,1,The Haunted Castle! repeated Midge with keen interest.
AT02,atmosphere,sunny peaceful countryside,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,dense_ann,Dense FAISS ANN,bm25,BM25,0.4556,0.6592,0.6675,0.5325,43404-8_chunk_000000,1,"In the other direction the clump of trees which surrounded Cottiswoode; the sky, in the west, was still full of the colors of the sunset, and from the horizon it rose upward in a multitude of tints and shades, the orange and red melting into a rosy flush which contrasted for a while, and then fell into the sweet, calm, peaceful tone of the full blue."
AT07,atmosphere,"an enchanted forest glows under the moon while distant music makes the place feel beautiful, magical, and slightly dangerous",dense_lags_lexical_baseline,dense_flat,Dense FAISS Flat,hybrid_rrf,Hybrid RRF,dense_flat,Dense FAISS Flat,0.7129,0.4700,0.4700,0.7392,33472-8_chunk_000026,1,"There is music, too, in this Forest Cathedral, which is heard to best advantage from the elevated gallery occupied by the snow-sheds."
AT08,atmosphere,"rain falls over a crowded city at night, and the dim windows, narrow streets, and hurried strangers create a mood of suspicion",dense_lags_lexical_baseline,dense_flat,Dense FAISS Flat,bm25,BM25,dense_flat,Dense FAISS Flat,0.6944,0.5415,0.5415,0.6179,57984-0_chunk_000004,0,
AW01,ambiguous_weak_evidence,something feels wrong,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,dense_ann,Dense FAISS ANN,hybrid_rrf,Hybrid RRF,0.4700,0.4700,0.5298,0.4300,45895-8_chunk_000165,1,"One feels at any rate that you have distinction, real musical distinction."
AW02,ambiguous_weak_evidence,the rules stop working,dense_lags_lexical_baseline,dense_flat,Dense FAISS Flat,hybrid_rrf,Hybrid RRF,dense_flat,Dense FAISS Flat,0.6543,0.4316,0.4802,0.6755,39040-8_chunk_000000,1,"The work throughout its many editions has commended itself to the attention of thousands of readers, and it is hoped the present edition will be received by society in general with the marked success of its predecessors."
AW04,ambiguous_weak_evidence,a place feels familiar but also completely wrong,hybrid_lags_dense_ann,dense_ann,Dense FAISS ANN,dense_ann,Dense FAISS ANN,bm25,BM25,0.4540,0.9375,0.9665,0.7538,37179-8_chunk_000036,2,"The reality, so far as my own experience goes, never once tallies with the fancy; but the town of our building is so compact and clear that it often remains in our memory alongside of the town of stone and brick, only gradually dissolving, and then leaving sometimes airy splendours of itself hanging to the solid structures of its prosaic rival."
AW08,ambiguous_weak_evidence,"a character experiences a scene that could be a memory, a dream, a lie, or several of these at the same time",hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,hybrid_rrf,Hybrid RRF,dense_ann,Dense FAISS ANN,0.4199,0.4220,0.3775,0.4259,51442-0_chunk_000224,1,"The great perceptive attitudes remain for the most part unchanged. We notice, on later reflection, that time may be curiously foreshortened, so that we have the events of a day crowded into a few seconds; but this is due partly to the occurrence of attitudes, of the nutshell-packing of experiences (p. 271), such as we find also in our waking memories, and partly to our own reflective reading of the dream;"
EK03,exact_keyword,a masked ball with a broken chandelier,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_flat,Dense FAISS Flat,0.6983,0.2398,0.3727,0.4402,45331-8_chunk_000158,1,"The chandelier over the dining-room table had a pendant push button A (Fig. 191), with which the regular electric lights could be turned on and off."
EK04,exact_keyword,a sailor hides a map inside a sea chest,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_ann,Dense FAISS ANN,0.6502,0.3665,0.3484,0.4824,39343-0_chunk_000357,0,"The passage does not mention any sailors, maps, or sea chests."
EK05,exact_keyword,a black horse waits outside an inn during a storm,dense_lags_lexical_baseline,dense_flat,Dense FAISS Flat,hybrid_rrf,Hybrid RRF,dense_ann,Dense FAISS ANN,0.9342,0.6434,0.6352,0.9491,6111-0_chunk_000095,1,I know that my horses were pretty well spent by the time we hit upon another trail.
EK06,exact_keyword,a brass machine has three levers and a green dial,dense_lags_lexical_baseline,dense_flat,Dense FAISS Flat,bm25,BM25,dense_flat,Dense FAISS Flat,0.7588,0.4627,0.4627,0.6932,40175-8_chunk_000106,1,The lever consists of a rigid bar capable of turning about a fixed axis called the fulcrum.
EK07,exact_keyword,"a governess finds a locked nursery with a torn blue curtain, a cracked mirror, and a portrait facing the wall",hybrid_lags_dense_ann,dense_ann,Dense FAISS ANN,dense_ann,Dense FAISS ANN,hybrid_rrf,Hybrid RRF,0.7506,0.9149,1.0000,0.7137,1667-0_chunk_000025,1,"The fumes again mixed together, and dissolved gradually from observation; the vaults and columns of the church rolled asunder, and disappeared; and the front of the mirror reflected nothing save the blazing torches and the melancholy apparatus placed on the altar or table before it."
