query_id,candidate_id,relevance
EK01,23319-8_chunk_000121,1
EK01,41983-8_chunk_000915,1
EK01,41983-8_chunk_000275,1
EK01,41586-8_chunk_000045,1
EK01,45409-8_chunk_000007,1
EK01,61786-0_chunk_000167,0
EK01,43283-8_chunk_000085,1
EK01,41586-8_chunk_000012,1
EK01,11541-8_chunk_000028,1
EK01,41586-8_chunk_000025,1
EK01,30472-0_chunk_000166,1
EK01,36721-8_chunk_000098,1
EK01,15191-8_chunk_000765,1
EK01,52921-0_chunk_000210,1
EK01,14504-0_chunk_000170,1
EK01,50603-8_chunk_000033,1
EK01,41586-8_chunk_000013,1
EK01,14504-0_chunk_000069,1
EK01,6603-8_chunk_000427,1
EK01,23319-8_chunk_000117,0
EK01,50404-0_chunk_000044,1
EK01,37683-8_chunk_000449,1
EK01,58529-0_chunk_001243,2
EK01,51964-8_chunk_000104,1
EK01,47692-8_chunk_000738,1
EK01,50404-0_chunk_000043,1
EK01,17881-8_chunk_000084,1
EK01,58529-0_chunk_001245,1
EK01,41586-8_chunk_000024,1
EK01,41586-8_chunk_000023,1
EK01,50404-0_chunk_000120,0
EK01,61786-0_chunk_000184,0
EK01,60098-0_chunk_000118,1
EK01,14504-0_chunk_000016,0
EK01,61235-0_chunk_000336,1
EK01,15191-8_chunk_000764,1
EK01,12088-8_chunk_000131,1
EK01,32224-8_chunk_000048,1
EK01,65816-0_chunk_000011,1
EK01,50572-0_chunk_000183,1
EK01,50404-0_chunk_000068,0
EK01,14504-0_chunk_000013,1
EK01,14504-0_chunk_000122,1
EK01,15191-8_chunk_000766,0
EK01,17669-8_chunk_000090,1
EK01,40928-8_chunk_000420,1
EK01,28058-8_chunk_000069,0
EK01,59880-0_chunk_000037,1
EK01,41586-8_chunk_000008,1
EK01,37683-8_chunk_000684,1
EK01,61557-0_chunk_000093,0
EK01,28058-8_chunk_000032,1
EK01,51991-0_chunk_000093,0
EK01,30472-0_chunk_000173,1
EK01,41586-8_chunk_000065,0
EK01,31415-8_chunk_000092,1
EK01,967-0_chunk_000023,1
EK01,33052-8_chunk_000177,1
EK01,30472-0_chunk_000165,1
EK02,48124-8_chunk_000037,1
EK02,37669-8_chunk_000128,1
EK02,60733-0_chunk_000013,1
EK02,50557-0_chunk_000050,1
EK02,64699-0_chunk_000070,1
EK02,61398-0_chunk_000493,1
EK02,60733-0_chunk_000016,0
EK02,61398-0_chunk_000490,1
EK02,22358-8_chunk_000242,1
EK02,52196-0_chunk_000128,1
EK02,21288-8_chunk_000079,1
EK02,48124-8_chunk_000032,1
EK02,38645-0_chunk_000027,1
EK02,14972-8_chunk_000012,1
EK02,50006-0_chunk_000173,1
EK02,54019-0_chunk_000101,0
EK02,37669-8_chunk_000162,0
EK02,13640-8_chunk_000105,1
EK02,47816-8_chunk_000013,1
EK02,50557-0_chunk_000055,1
EK02,52921-0_chunk_000033,1
EK02,31675-0_chunk_000147,1
EK02,48124-8_chunk_000109,1
EK02,47583-0_chunk_000076,1
EK02,47583-0_chunk_000130,1
EK02,36121-0_chunk_000266,1
EK02,54019-0_chunk_000072,1
EK02,9876-8_chunk_000026,1
EK02,37669-8_chunk_000129,1
EK02,55626-0_chunk_000360,1
EK02,61172-8_chunk_000007,1
EK02,5228-0_chunk_000043,1
EK02,25359-8_chunk_000247,1
EK02,63217-0_chunk_000098,0
EK02,37669-8_chunk_000134,1
EK02,650-0_chunk_000094,1
EK02,48124-8_chunk_000047,1
EK02,2814-0_chunk_000188,1
EK02,55624-8_chunk_000033,1
EK02,48124-8_chunk_000164,1
EK02,53562-0_chunk_000000,0
EK02,13695-0_chunk_000321,1
EK02,42856-8_chunk_000056,1
EK02,37669-8_chunk_000157,0
EK02,37669-8_chunk_000053,1
EK02,37669-8_chunk_000127,0
EK02,19968-8_chunk_000247,1
EK02,15655-8_chunk_000003,1
EK02,47816-8_chunk_000073,1
EK02,48124-8_chunk_000049,1
EK02,50557-0_chunk_000051,1
EK02,61398-0_chunk_000316,0
EK02,48124-8_chunk_000050,1
EK02,47583-0_chunk_000052,1
EK02,50557-0_chunk_000137,1
EK02,44186-0_chunk_000091,1
EK02,54019-0_chunk_000071,1
EK03,30724-0_chunk_000234,1
EK03,12330-0_chunk_000038,1
EK03,14857-8_chunk_000043,1
EK03,46684-0_chunk_000024,0
EK03,5872-0_chunk_000035,1
EK03,20131-8_chunk_000015,1
EK03,20131-8_chunk_000066,1
EK03,20131-8_chunk_000014,1
EK03,65310-0_chunk_000189,1
EK03,65310-0_chunk_000033,1
EK03,65310-0_chunk_000191,0
EK03,42853-0_chunk_000016,0
EK03,65310-0_chunk_000213,1
EK03,14097-8_chunk_000064,0
EK03,44336-8_chunk_000134,1
EK03,1438-0_chunk_000646,0
EK03,40035-8_chunk_000005,0
EK03,20117-8_chunk_000612,1
EK03,65310-0_chunk_000019,1
EK03,19724-8_chunk_000097,1
EK03,39306-8_chunk_000072,1
