query_id,category,query,method,method_display,Precision@5,Recall@10,MRR@10,nDCG@10,relevant_judgments,strong_judgments,top_result_id,top_result_label,top10_relevant_hits,top10_strong_hits
AS01,action_situation,prisoner escapes captivity,bm25,BM25,1.0000,0.1961,1.0000,0.6956,51,8,43487-0_chunk_000158,2,10,4
AS01,action_situation,prisoner escapes captivity,dense_flat,Dense FAISS Flat,1.0000,0.1961,1.0000,0.4271,51,8,54225-0_chunk_000606,1,10,1
AS01,action_situation,prisoner escapes captivity,dense_ann,Dense FAISS ANN,1.0000,0.1961,1.0000,0.3649,51,8,59892-0_chunk_000043,1,10,0
AS01,action_situation,prisoner escapes captivity,hybrid_rrf,Hybrid RRF,1.0000,0.1961,1.0000,0.5144,51,8,43487-0_chunk_000125,1,10,2
AS02,action_situation,strangers hide from pursuers,bm25,BM25,0.6000,0.1702,1.0000,0.5521,47,1,11949-8_chunk_000198,1,8,0
AS02,action_situation,strangers hide from pursuers,dense_flat,Dense FAISS Flat,1.0000,0.2128,1.0000,0.6944,47,1,42490-8_chunk_000125,1,10,0
AS02,action_situation,strangers hide from pursuers,dense_ann,Dense FAISS ANN,1.0000,0.2128,1.0000,0.6944,47,1,42490-8_chunk_000125,1,10,0
AS02,action_situation,strangers hide from pursuers,hybrid_rrf,Hybrid RRF,0.8000,0.1702,1.0000,0.5843,47,1,11949-8_chunk_000198,1,8,0
AS03,action_situation,someone follows a suspicious person without being noticed,bm25,BM25,1.0000,0.1765,1.0000,0.5091,51,4,37963-8_chunk_000087,1,9,1
AS03,action_situation,someone follows a suspicious person without being noticed,dense_flat,Dense FAISS Flat,1.0000,0.1961,1.0000,0.4700,51,4,40510-8_chunk_000005,1,10,0
AS03,action_situation,someone follows a suspicious person without being noticed,dense_ann,Dense FAISS ANN,1.0000,0.1961,1.0000,0.4700,51,4,58711-0_chunk_000117,1,10,0
AS03,action_situation,someone follows a suspicious person without being noticed,hybrid_rrf,Hybrid RRF,1.0000,0.1961,1.0000,0.5323,51,4,37963-8_chunk_000087,1,10,1
AS04,action_situation,a person interrupts a ceremony to reveal the truth,bm25,BM25,1.0000,0.2083,1.0000,1.0000,48,0,20745-8_chunk_000038,1,10,0
AS04,action_situation,a person interrupts a ceremony to reveal the truth,dense_flat,Dense FAISS Flat,0.8000,0.1875,1.0000,0.9052,48,0,47747-8_chunk_000012,1,9,0
AS04,action_situation,a person interrupts a ceremony to reveal the truth,dense_ann,Dense FAISS ANN,1.0000,0.2083,1.0000,1.0000,48,0,2537-0_chunk_000079,1,10,0
AS04,action_situation,a person interrupts a ceremony to reveal the truth,hybrid_rrf,Hybrid RRF,1.0000,0.1875,1.0000,0.9364,48,0,64898-0_chunk_000180,1,9,0
AS05,action_situation,someone breaks a curse by returning what was stolen,bm25,BM25,1.0000,0.2326,1.0000,0.6769,43,4,38895-8_chunk_000667,2,10,1
AS05,action_situation,someone breaks a curse by returning what was stolen,dense_flat,Dense FAISS Flat,0.6000,0.1860,1.0000,0.3602,43,4,28674-8_chunk_000101,1,8,0
AS05,action_situation,someone breaks a curse by returning what was stolen,dense_ann,Dense FAISS ANN,0.6000,0.1860,1.0000,0.3530,43,4,28674-8_chunk_000101,1,8,0
AS05,action_situation,someone breaks a curse by returning what was stolen,hybrid_rrf,Hybrid RRF,0.8000,0.1860,1.0000,0.4978,43,4,6603-8_chunk_000650,1,8,1
AS06,action_situation,a family leaves home after losing everything in a disaster,bm25,BM25,1.0000,0.1892,1.0000,0.4609,37,2,65453-0_chunk_000009,1,7,0
AS06,action_situation,a family leaves home after losing everything in a disaster,dense_flat,Dense FAISS Flat,0.8000,0.2432,0.5000,0.4540,37,2,20645-8_chunk_000090,0,9,0
AS06,action_situation,a family leaves home after losing everything in a disaster,dense_ann,Dense FAISS ANN,0.8000,0.2162,0.5000,0.4154,37,2,20645-8_chunk_000090,0,8,0
